,en,es
start,Start,Iniciar
resume,Resume,Continuar
options,Options,Opciones
exit,Exit,Salir
video,Video,Vídeo
audio,Audio,Audio
fullscreen,Fullscreen,Pantalla completa
borderless,Borderless,Sin bordes
vsync,VSync,VSync
master,Master,Maestro
music,Music,Música
sound FX,Sound FX,sonido
exit_menu,Exit to main menu,Salir al menú principal
var example,I want to eat % burgers,Quiero comer % hamburguesas
back,Back,Atrás 
language,Language,Idioma
english,English,Inglés
spanish,Spanish,Español
continue,Continue,Continuar
resolution,Resolution,Resolución
